"imdb_id"	"tmdb_id"	"primaryTitle"	"mainGenre"	"genres"	"isAdult"	"releaseYear"	"releaseDate"	"overview"	"tagline"	"budget"	"revenue"	"averageRating"	"numVotes"
"tt0034509"	400563	"Between Us Girls"	"Drama"	"Comedy"	"0"	1942	1942-09-04	"A 20-year-old stage actress takes on her most challenging role when she pretends to be her own mother's 12-year-old daughter. Comedy."	""	0	0	6.7	52
"tt0034510"	97823	"Beyond the Blue Horizon"	"Action"	"Action,Adventure,Comedy"	"0"	1942	1942-06-25	"A young girl's parents are killed on a tropical island, and the girl is raised and protected by the jungle animals. When she is found, as a grown woman, she is taken back to the United States to claim her inheritance. There are several people, with vested interests, who stand to gain something if she is shown not to be the missing heir."	"The queen of the tropics finds a new jungle man!"	0	0	6.6	64
"tt0034512"	212820	"The Big Blockade"	"Drama"	"Drama,War"	"0"	1942	1942-01-19	"Wartime propaganda piece reporting on the success of the economic blockade of Germany in the early years of the war."	""	0	0	5.5	143
"tt0034513"	19388	"The Big Shot"	"Crime"	"Crime,Drama"	"0"	1942	1942-06-13	"Duke Berne, former big shot but now a three-time loser, fears returning to crime because a fourth conviction will mean a life sentence. Finally, haunted by his past and goaded by his cohorts, he joins in planning an armoured car robbery."	"HUMPHREY BOGART as the Last of the Racket Barons... the Big Shot of 'em all!"	0	0	6.7	580
"tt0034514"	98262	"The Big Street"	"Drama"	"Drama,Music,Romance"	"0"	1942	1942-08-13	"Runyonesque busboy Little Pinks (Henry Fonda) hitchhikes to Florida with a gangster's (Barton MacLane) ex-moll (Lucille Ball) in a wheelchair."	"Damon Runyon's first real love story!"	0	0	6.5	984
"tt0034516"	347352	"Billy the Kid's Smoking Guns"	"Drama"	"Western"	"0"	1942	1942-05-01	"Knowing the Army is arriving to establish a post. Doc Hagan and his gang and the crooked Sheriff are trying to drive the ranchers off the land. When the gang wound a rancher, the Doc finishes him off with his needle. Running from the law again, Billy and his pals arrive and take up the ranchers fight. But when Billy's pal Jeff is wounded, Fuzzy unknowningly takes him to Doc Hagan."	"BILLY GOES BLASTING AGAIN---IT'S DEATH BY THE GUN...When The Kid Sets Out For His Prey!"	0	0	6.2	30
"tt0034520"	301723	"La bisbetica domata"	"Drama"	"Comedy"	"0"	1942	1942-04-01	"A modern retelling of The Taming of the Shrew shot in wartime Italy."	""	0	0	5.6	13
"tt0034521"	22741	"Black Dragons"	"Thriller"	"Thriller,War"	"0"	1942	1942-03-06	"It is prior to the commencement of World War II, and Japan's fiendish Black Dragon Society is hatching an evil plot with the Nazis. They instruct a brilliant scientist, Dr. Melcher, to travel to Japan on a secret mission. There he operates on six Japanese conspirators, transforming them to resemble six American leaders. The actual leaders are murdered and replaced with their likeness …"	"It's the picture that has the whole town shivering!"	0	0	4.2	832
"tt0034522"	29882	"The Black Swan"	"Action"	"Action,Adventure,Drama"	"0"	1942	1942-12-04	"When notorious pirate Henry Morgan is made governor of Jamaica, he enlists the help of some of his former partners in ridding the Caribbean of Buccaneers. When one of them apparently abducts the previous governor's pretty daughter and joins up with the rebels, things are set for a fight."	"Seas Ablaze...with black villainy, with fiery romance, with breathless deeds of daring...in the roaring era of Love, Gold and Adventure!"	0	0	6.9	3261
"tt0034525"	3942	"Blondie Goes to College"	"Drama"	"Comedy"	"0"	1942	1942-01-15	"Number 10 in the Blondie series, Blondie Goes to College is predicated on the notion that Dagwood Bumstead (Arthur Lake) must receive a college diploma or lose his job with the Dithers Construction Company.  Not wishing to be separated from her husband, Blondie (Penny Singleton) enrolls in college as well.  But Leighton College rules stipulate \"No Married Couples\", forcing Blondie and Dagwood to pretend that they're not married.  This causes quite a dilemma when coed Laura Wadsworth (Janet Blair) begins flirting with Dagwood and Rusty Bryant (Larry Parks) does same with Blondie.  And Blondie's discovery of a very pleasant secret threatens to expose her and Dagwood's marital status too.  The student body at this particular seat of learning is comprised of quite a few familiar faces, including Lloyd Bridges, Sid Melton, and Adele Mara."	"The BUMSTEADS Are Going To College... So Folks Will Stop Calling Them The DUMBSTEADS!"	0	0	6.6	162
