;news_id;news_title;news_link;news_subtit;news_rel
62;EP;¿Qué opinas de la situación política en Catalunya?;http://www.elperiodico.com/es/entre-todos/tema/que-opinas-de-la-situacion-politica-en-catalunya-6790;El debate;
63;EP;A Sarajevo ningú creia en el malson d'una guerra;http://www.elperiodico.com/es/entre-todos/participacion/a-sarajevo-ningu-creia-en-el-malson-duna-guerra-145859;"Jaume Canet
Barcelona";
64;EP;Váyanse, señores Rajoy y Puigdemont, porque no nos sirven.;http://www.elperiodico.com/es/entre-todos/participacion/vayanse-no-nos-sirven-146279;"Maria Garcia Becerril
Barcelona";
65;EP;El 'seny' del Barça;http://www.elperiodico.com/es/entre-todos/participacion/seny-blaugrana-145979;"Eduardo López Laguarta
Terrassa";
66;EP;Un atlas censa barrio a barrio las 83 especies de aves que anidan en BCN;http://www.elperiodico.com/es/medio-ambiente/20171019/atlas-aves-nidificantes-de-barcelona-6365357;Biodiversidad urbana;
67;EP;Saltamontes y grillos, amenazados en Europa por los plaguicidas;http://www.elperiodico.com/es/medio-ambiente/20171020/saltamontes-y-grillos-amenazados-por-los-plaguicidas-en-europa-6366983;Denuncia ecologista;
68;EP;S. Chandrasekhar, el niño prodigio que nos explicó cómo mueren las estrellas;http://www.elperiodico.com/es/ciencia/20171019/s-chandrasekhar-6363978;homenaje de google;
69;EP;El drama de un rinoceronte, premio a la Mejor Fotografía de Naturaleza 2017;http://www.elperiodico.com/es/medio-ambiente/20171018/rinoceronte-wildlife-photographer-2017-6361705;GALARDÓN;
70;EP;Leagoo lanza su S8 Pro, un dispositivo que quiere competir con el último de Samsung;http://www.elperiodico.com/es/tecnologia/20171019/leagoo-lanza-su-s8-pro-un-dispositivo-que-quiere-competir-con-el-ultimo-de-samsung-6363954;Mercado de móviles;
71;EP;Whatsapp permite compartir la ubicación en tiempo real en un mapa;http://www.elperiodico.com/es/tecnologia/20171019/whatsapp-aplicacion-compartir-ubicacion-6363843;NUEVA OPCIÓN;
72;EP;Consejos para prevenir el cáncer de mama;http://www.elperiodico.com/es/belleza/20171017/consejos-para-prevenir-el-cancer-de-mama-6359986;PECHOS SANOS;
73;EP;'Blunt Bob', el corte más deseado del otoño;http://www.elperiodico.com/es/belleza/20171016/blunt-bob-corte-recto-vidal-sassoon-movimiento-deseada-temporada-melena-renovada-emma-stone-marion-cotillard-bella-hadid-emily-ratajwoski-selena-gomez-6357260;'LOOK' RENOVADO;
74;EP;Así fue el fin de semana del referéndum;http://www.elperiodico.com/es//es/politica/20171002/fin-de-semana-referendum-cataluna-6327168;crónica audiovisual;
75;EP;'Blade Runner' en siete claves;http://www.elperiodico.com/es//es/ocio-y-cultura/20171001/siete-motivos-blade-runner-hito-ciencia-ficcion-6317788;UNA DISTOPÍA CLÁSICA;
76;EP;Un puzle para Macron y Merkel;http://blogs.elperiodico.com/bloglobal/;BLOGLOBAL;
77;EP;Los cinco consejos para conseguir un seguro barato;http://www.elperiodico.com/es/motor/noticias/trending/consejos/los-cinco-consejos-para-conseguir-un-seguro-barato-6333106;RECOMENDACIONES;
78;EP;Estos son los límites de velocidad y las multas en España;http://www.elperiodico.com/es/motor/noticias/trending/consejos/limites-velocidad-multas-espana-6364987;MULTAS;
79;EP;6 castillos escoceses reconvertidos en hotel;http://viajar.elperiodico.com/planes/6-castillos-escoceses-reconvertidos-hotel;HOTELES;
80;EP;El Algarve en otoño en 10 espectáculos naturales;http://viajar.elperiodico.com/destinos/algarve-otono-10-espectaculos-naturales;PLANES;
81;EP;El gran error de Arda Turan;http://www.sport.es/es/noticias/barca/gran-error-arda-turan-6365716;;
82;EP;Confidencial SPORT: Las exigencias culinarias de...;http://www.sport.es/es/noticias/barca/confidencial-sport-las-exigencias-culinarias-dembele-6365590;;
83;EP;Las tres salidas que pide Valverde;http://www.sport.es/es/noticias/barca/las-tres-salidas-que-pide-valverde-barcelona-6366679;;
84;EP;Por qué el creador del ‘like’ de Facebook eliminó la app de su...;http://www.codigonuevo.com/creador-like-facebook-elimino-app-movil/;;
85;EP;Tres señales que indican que tu...;http://www.codigonuevo.com/tres-senales-que-indican-que-tu-pareja-se-esta-desenamorando-de-ti/;;
86;EP;Así fue echar un polvo en...;http://www.codigonuevo.com/polvo-burdel-munecas-barcelona/;;
87;EP;Riikka Hannula abandona el Espanyol;http://www.diariolagrada.com/noticias/futbolfemenino/riikka-hannula-abandona-espanyol_26942.html;;
88;EP;El lateral diestro es un bendito...;http://www.diariolagrada.com/noticias/espanyol/lateral-diestro-es-bendito-problema-quique_26946.html;;
89;EP;"""Será bonito volver a Anoeta, no...";http://www.diariolagrada.com/noticias/espanyol/sera-bonito-volver-anoeta-no-tengo-ninguna-espina-clavada_26949.html;;
90;EP;El espectacular desnudo integral de Hiba Abouk;http://www.woman.es/celebrities/protagonistas/espectacular-desnudo-integral-hiba-abouk;;
91;EP;El desnudo de Úrsula Corberó en...;http://www.woman.es/celebrities/protagonistas/desnudo-ursula-corbero-instagram;;
92;EP;Ocho cosas que debes saber sobre...;http://www.woman.es/lifestyle/sexo_y_pareja/ocho-cosas-debes-poliamor-poligamia;;
93;EP;Los precios de los transportes para llegar al aeropuerto;http://www.elperiodico.com/es/motor/noticias/trending/los-precios-de-los-transportes-para-llegar-al-aeropuerto-6368034;;
94;EP;El Mercedes-Benz 300 S Coupé de...;http://www.elperiodico.com/es/motor/noticias/trending/el-mercedes-benz-300-s-coupe-de-barraquer-a-subasta-6367799;;
95;EP;Hennessey sube la apuesta y se...;http://www.elperiodico.com/es/motor/noticias/trending/hennessey-sube-apuesta-bugatti-objetivo-500-km-por-hora-6367149;;
96;EP;Los 7 monasterios que nunca pensaste visitar;http://viajar.elperiodico.com/planes/7-monasterios-pensaste-visitar;;
97;EP;6 castillos escoceses reconvertidos en hotel;http://viajar.elperiodico.com/planes/6-castillos-escoceses-reconvertidos-hotel;;
98;EP;De ruta por la herencia judía...;http://viajar.elperiodico.com/viajeros/ruta-herencia-judia-espana;;
99;LV;El Rey garantiza que “Catalunya es y será parte esencial de la España del siglo XXI”;http://www.lavanguardia.com/politica/20171020/432209338794/felipe-vi-catalunya-siempre-sera-parte-esencial-espana-xxi.html;;
100;LV;Las instituciones europeas salen en defensa de la ley, la unidad y el diálogo;http://www.lavanguardia.com/politica/20171020/432208259541/instituciones-europeas-salen-defensa-ley-unidad-dialogo-premios-princesa-asturias.html;;
101;LV;Lo que se sabe del artículo 155 de la Constitución a horas de ser aplicado;http://www.lavanguardia.com/politica/20171020/432206733652/lo-que-se-sabe-del-155.html;;
102;LV;Rajoy culpa a Puigdemont de tener que aplicar el artículo 155 con el PSOE y Ciudadanos;http://www.lavanguardia.com/politica/20171020/432202384714/articulo-155-rajoy-puigdemont-acuerdo-psoe-cs.html;;
103;LV;PSOE y Cs apuestan por aplicar el 155 y convocar las elecciones en enero;http://www.lavanguardia.com/politica/20171020/432199238402/pp-psoe-carmen-calvo-elecciones-catalunya-enero.html;;
104;LV;El PSOE apunta a una intervención de TV3;http://www.lavanguardia.com/politica/20171020/432199527823/psoe-intervencion-tv3-articulo-155.html;;
105;LV;El PSC avisa de que no dará un “cheque en blanco” al PSOE para aplicar el artículo 155;http://www.lavanguardia.com/politica/20171020/432204191619/articulo-155-psc-cheque-en-blanco-psoe.html;;
106;LV;Directo | La última hora sobre la aplicación del artículo 155 en Catalunya;http://www.lavanguardia.com/politica/20171020/432197999806/articulo-155-constitucion-congreso-independencia-cataluna-rajoy-puigdemont.html;;
107;LV;La Audiencia ordena investigar llamadas de Trapero, Sánchez y Cuixart;http://www.lavanguardia.com/politica/20171020/432205269396/audiencia-nacional-investigar-llamadas-trapero.html;;
108;LV;Ciments Molins también se marcha de Catalunya;http://www.lavanguardia.com/economia/20171020/432201844655/ciments-molins-catalunya-sede-social.html;;
109;LV;La protagonista del ‘Help Catalonia’ cierra sus redes ante el alcance del vídeo;http://www.lavanguardia.com/politica/20171020/432206678196/protagonista-viral-video-omnium-cierra-redes.html;;
110;LV;El delegado del Gobierno en Aragón: El “adoctrinamiento” en Catalunya “es eficaz como la propaganda nazi”;http://www.lavanguardia.com/politica/20171020/432206266352/delegado-gobierno-aragon-catalunya.html;;
111;LV;La bomba contra la periodista maltesa habría sido detonada por control remoto;http://www.lavanguardia.com/internacional/20171020/432206752919/bomba-mato-periodista-maltesa-detonada-por-control-remoto.html;;
112;LV;La haka de los All Blacks a los Reyes en los Premios Princesa de Asturias;http://www.lavanguardia.com/deportes/20171020/432207101693/haka-all-blacks-reyes-princesa-de-asturias.html;;
113;LV;Kilian Jornet pasa por el quirófano y estará seis meses de baja;http://www.lavanguardia.com/deportes/otros-deportes/20171020/432208974923/kilian-jornet-operado-hombros.html;;
114;LV;Hallada una ‘cueva’ gigantesca en la Luna;http://www.lavanguardia.com/vida/20171020/432199072204/hallada-cueva-gigantesca-luna.html;;
